"","qnr","qname","kindergarten_score","kinderhort_score","spielplatzte_score","volksschule_score","kinderkrippe_score","sporthalle_score","amenities_score"
"1",11,"Rathaus",0.354819863680623,0,0.971219187208528,0,0,0,0.221006508481525
"2",12,"Hochschulen",0.211879259980526,0.25233373920102,0.289940039973351,0.346938775510204,0.416289304164806,0,0.252896853138318
"3",13,"Lindenhof",0,0,1,0,0,0,0.166666666666667
"4",14,"City",0.354819863680623,0.105641560851163,0.242771485676216,0.290497448979592,0.929587346131769,0,0.32055295088656
"5",21,"Wollishofen",0.445277507302824,0.397750333391314,0.266622251832112,0.319036989795918,0.255245870272339,0,0.280655492099085
"6",23,"Leimbach",0.683739045764362,0.444135211920914,0.0850099933377748,0.305325255102041,0.0814465208240321,0.814413265306122,0.402344882042541
"7",24,"Enge",0.338656280428432,0.336116426045109,0.61798800799467,0.184789540816327,0.295809681739907,0,0.295559989504074
"8",31,"Alt-Wiedikon",0.661538461538462,0.501362555806807,0.0823451032644903,0.196906887755102,0.866636902863703,0.394132653061224,0.450487094048298
"9",33,"Friesenberg",0.531158714703019,0.587406505479214,0.415323117921386,0.372767857142857,0.149116652847758,0.248724489795918,0.384082889648359
"10",34,"Sihlfeld",0.942259006815969,0.736417927755552,0.967088607594937,0.482142857142857,0.424325530964985,0.385841836734694,0.656345961168166
"11",41,"Werd",0,0,0,0,0.676828879392818,0,0.112804813232136
"12",42,"Langstrasse",0.490652385589094,0.292166753638314,0.55962691538974,0.267857142857143,0.53568467376746,0,0.357664645206959
"13",44,"Hard",0.629795520934761,0.708355076245144,0.383077948034644,0.34375,0.366668792652593,0.458545918367347,0.481698876039081
"14",51,"Gewerbeschule",1,0.680524149127384,0.586409060626249,0.935746173469388,0.467886982588175,0,0.611761060968533
"15",52,"EscherWyss",0.326192794547225,0.242766858004291,0.111525649566955,0.133450255102041,0.534153963900759,0,0.224681586853545
"16",61,"Unterstrass",0.806913339824732,0.504551516205717,0.441705529646902,0.330357142857143,0.369985330697111,0,0.408918809871934
"17",63,"Oberstrass",0.364362220058423,0.397750333391314,0.581612258494337,0.198820153061224,0.477326360099496,0,0.336645220850799
"18",71,"Fluntern",0.275949367088608,0.246477648286659,0.314723517654897,0.150669642857143,0.271126985139358,0,0.209824526837777
"19",72,"Hottingen",0.259006815968841,0.110164086507798,0.30379746835443,0.181760204081633,0.242362395560941,0,0.182848495078941
"20",73,"Hirslanden",0.511684518013632,0.121876268336522,0.280079946702199,0.335140306122449,0.469290133299318,0,0.286345195412353
"21",74,"Witikon",0.309931840311587,0.123035890299762,0.0471685542971352,0.112723214285714,0.157918234581287,0,0.125129622295914
"22",81,"Seefeld",0,0,0.39746835443038,0,0.475604311499458,0,0.145512110988306
"23",82,"Mühlebach",0.915968841285297,1,0.208927381745503,1,1,1,0.854149370505133
"24",83,"Weinegg",0.247224926971762,0.184032005566185,0.338307794803464,0.303730867346939,0.404872759742331,0,0.246361392405114
"25",91,"Albisrieden",0.753359298928919,0.576795964515568,0.2454363757495,0.293686224489796,0.446457044454366,0.23469387755102,0.425071464281528
"26",92,"Altstetten",0.533787731256086,0.379428306372123,0.212125249833444,0.282047193877551,0.225588366605013,0,0.272162807990703
"27",101,"Höngg",0.442648490749757,0.288687887748594,0.288474350433045,0.241549744897959,0.19331590024874,0,0.242446062346349
"28",102,"Wipkingen",0.818500486854917,0.787325331941787,0.516988674217189,0.309311224489796,0.618598124880413,0,0.508453973730684
"29",111,"Affoltern",0.591918208373905,0.376007421580565,0.269953364423717,0.22624362244898,0.142164678869826,0.258290816326531,0.310763018670587
"30",115,"Oerlikon",0.776436222005842,0.550414564851858,0.404796802131912,0.302774234693878,0.532814592767396,0.48405612244898,0.508548756483311
"31",119,"Seebach",0.55014605647517,0.300284107380994,0.376415722851432,0.225127551020408,0.27023407105045,0.149872448979592,0.312013326293008
"32",121,"Saatlen",0.542745861733203,0.754102162694961,0.247568287808128,0.592474489795918,0.355507366541233,0.592474489795918,0.514145443061561
"33",122,"Schwamendingen-Mitte",0.425608568646543,0.4646025395721,0.388274483677548,0.464604591836735,0.418138911920403,0,0.360204849275555
"34",123,"Hirzenbach",0.497565725413827,0.691308633385516,0.226915389740173,0.452646683673469,0.217297021493718,0.724489795918367,0.468370541604178
